TEAM NAME, SCORE, LOCATION, ROUND NUMBER
SURIYA1696NO, 628.75, CHENNAI, 1
CHEORI6181, 621.5, CHENNAI, 1
HAMANT130NO, 598.25, CHENNAI, 1
MUDITM73QR, 598, CHENNAI, 1
VIJAYP5448DE, 593.5, CHENNAI, 1
PRIYAL570VW, 573.75, CHENNAI, 1
FRANCI831EF, 558.5, CHENNAI, 1
CHEORI6182, 548.25, CHENNAI, 1
SANJAY56004KL, 547, CHENNAI, 1
MANITH218LM, 543.25, CHENNAI, 1
ZUBAIR1991UV, 574.5, HYDERABAD, 1
YESWAN249EF, 570, HYDERABAD, 1
SUNRISERS 1111, 562.5, HYDERABAD, 1
SURESH19217UV, 548, HYDERABAD, 1
HYDORI5014, 539.5, HYDERABAD, 1
NAAYAN10VW, 528.25, HYDERABAD, 1
HYDORI2271, 527.75, HYDERABAD, 1
NARSIR89GH, 501.5, HYDERABAD, 1
HYDORI5041, 473.5, HYDERABAD, 1
HYDORI1344, 471, HYDERABAD, 1
AKASHG3111FG, 653.5, KOCHI, 1
KOCORI2798, 645.5, KOCHI, 1
VINUSOUZ, 621.25, KOCHI, 1
SHANTU404, 616.75, KOCHI, 1
KOCOR3230, 601.25, KOCHI, 1
AXELEVEN11, 601, KOCHI, 1
KOCORI3058, 601, KOCHI, 1
RATZ 11, 591.75, KOCHI, 1
JITHIN1533MN, 580.5, KOCHI, 1
SAJESH PADMANABHAN, 575.25, KOCHI, 1
PILLA1316JK, 833.5, MUMBAI, 1
MAURYAMANISH1993, 716, MUMBAI, 1
RUPALI2673CD, 648.5, MUMBAI, 1
MUMORI2638, 643.25, MUMBAI, 1
DHARME3429KL, 592, MUMBAI, 1
SACHIN57303MN, 591, MUMBAI, 1
ATULMC13RS, 590.5, MUMBAI, 1
UDDHAV431PQ, 589.25, MUMBAI, 1
11SHANDAR, 566, MUMBAI, 1
PRITIB208JK, 561.5, MUMBAI, 1
CHEORI6181, 1293.75, CHENNAI, 2
CHEORI6182, 1065, CHENNAI, 2
"GOWTHA4882AB", 1045.25, CHENNAI, 2
MUDITM73QR, 1040, CHENNAI, 2
SURIYA1696NO, 1028.75, CHENNAI, 2
ASHOK35715AB, 960.25, CHENNAI, 2
"VIJAYP5448DE", 941.25, CHENNAI, 2
RAHULD5934OP, 929.25, CHENNAI, 2
SANJAY56004KL, 921.75, CHENNAI, 2
FRANCI831EF, 903, CHENNAI, 2
HYDORI5014, 1177.75, HYDERABAD, 2
HYDORI2271, 1103.75, HYDERABAD, 2
HYDORI5041, 1095.75, HYDERABAD, 2
SUNRISERS 1111, 1025.75, HYDERABAD, 2
YESWAN249EF, 964.5, HYDERABAD, 2
NARSIR89GH, 963.5, HYDERABAD, 2
SURESH19217UV, 932.75, HYDERABAD, 2
HYDORI5070, 875.25, HYDERABAD, 2
BALASU703AB, 855, HYDERABAD, 2
ZUBAIR1991UV, 846.25, HYDERABAD, 2
KOCOR3230, 1292.75, KOCHI, 2
KOCORI3335, 1154, KOCHI, 2
SHANTU404, 1149.75, KOCHI, 2
JITHIN1533MN, 1067.25, KOCHI, 2
SAJESH PADMANABHAN, 1040.75, KOCHI, 2
KOCORI2798, 1028.75, KOCHI, 2
ROSHIT113VW, 1007, KOCHI, 2
AXELEVEN11, 1006.5, KOCHI, 2
ASISHR72JK, 1004.25, KOCHI, 2
JUBINB, 995, KOCHI, 2
MUMORI1311, 1269.75, MUMBAI, 2
MUMORI2638, 1186.5, MUMBAI, 2
PILLA1316JK, 1160.25, MUMBAI, 2
MAURYAMANISH1993, 1101, MUMBAI, 2
RUPALI2673CD, 1068.5, MUMBAI, 2
MUMORI1304, 1056, MUMBAI, 2
ATULMC13RS, 1037.25, MUMBAI, 2
SACHIN57303MN, 1034.75, MUMBAI, 2
AMEYAD18WX, 1014, MUMBAI, 2
DHARME3429KL, 995, MUMBAI, 2
CHEORI6181, 1653.5, CHENNAI, 3
CHEORI6182, 1579.25, CHENNAI, 3
"GOWTHA4882AB", 1506.5, CHENNAI, 3
MUDITM73QR, 1442.75, CHENNAI, 3
SANJAY56004KL, 1432.5, CHENNAI, 3
CHEORI6199, 1356.75, CHENNAI, 3
FRANCI831EF, 1345.75, CHENNAI, 3
RAHULD5934OP, 1331.25, CHENNAI, 3
"SUBASH3678JK", 1310.25, CHENNAI, 3
"VIJAYP5448DE", 1294.5, CHENNAI, 3
HYDORI5014, 1731.5, HYDERABAD, 3
HYDORI2271, 1670.75, HYDERABAD, 3
YESWAN249EF, 1558.5, HYDERABAD, 3
NARSIR89GH, 1522.5, HYDERABAD, 3
HYDORI5041, 1498.25, HYDERABAD, 3
SUNRISERS 1111, 1378.25, HYDERABAD, 3
HYDORI5070, 1372.5, HYDERABAD, 3
SURESH19217UV, 1366.5, HYDERABAD, 3
SUNILC2490GH, 1327, HYDERABAD, 3
ZUBAIR1991UV, 1278.25, HYDERABAD, 3
KOCOR3230, 1868, KOCHI, 3
"AKASHG3111FG", 1622, KOCHI, 3
SHANTU404, 1617.25, KOCHI, 3
KOCORI2798, 1560, KOCHI, 3
JINESH518ST, 1559, KOCHI, 3
AXELEVEN11, 1557, KOCHI, 3
JITHIN1533MN, 1538.5, KOCHI, 3
KOCORI3335, 1529.5, KOCHI, 3
SAJESH PADMANABHAN, 1463, KOCHI, 3
ROSHIT113VW, 1440.75, KOCHI, 3
MAURYAMANISH1993, 1616.5, MUMBAI, 3
ATULMC13RS, 1584.5, MUMBAI, 3
MUMORI1311, 1549, MUMBAI, 3
RUPALI2673CD, 1510.5, MUMBAI, 3
AMEYAD18WX, 1496.75, MUMBAI, 3
UDDHAV431PQ, 1489, MUMBAI, 3
PILLA1316JK, 1392, MUMBAI, 3
11SHANDAR, 1384.5, MUMBAI, 3
MUMORI2638, 1384, MUMBAI, 3
LXROD7, 1335.5, MUMBAI, 3
MUDITM73QR, 2360.75, CHENNAI, 4
CHEORI6181, 2347.5, CHENNAI, 4
CHEORI6182, 2275.5, CHENNAI, 4
FRANCI831EF, 2201.75, CHENNAI, 4
CHEORI6199, 2079.75, CHENNAI, 4
MANITH218LM, 2017, CHENNAI, 4
RAHULD5934OP, 1987.25, CHENNAI, 4
SANJAY56004KL, 1983, CHENNAI, 4
"VIJAYP5448DE", 1972, CHENNAI, 4
NIRMA5864GH, 1964, CHENNAI, 4
HYDORI5014, 2423.5, HYDERABAD, 4
HYDORI2271, 2360.75, HYDERABAD, 4
ZUBAIR1991UV, 2211.25, HYDERABAD, 4
NARSIR89GH, 2175.25, HYDERABAD, 4
HYDORI5070, 2167, HYDERABAD, 4
HYDORI1344, 2126.75, HYDERABAD, 4
HYDORI5041, 2045.75, HYDERABAD, 4
YESWAN249EF, 2040.5, HYDERABAD, 4
SUNRISERS 1111, 1919.75, HYDERABAD, 4
SURESH19217UV, 1908.5, HYDERABAD, 4
SHANTU404, 2489.75, KOCHI, 4
KOCORI3335, 2438.5, KOCHI, 4
KOCOR3230, 2435, KOCHI, 4
"AKASHG3111FG", 2261, KOCHI, 4
AXELEVEN11, 2204.25, KOCHI, 4
ROSHIT113VW, 2176.25, KOCHI, 4
KOCORI2798, 2165.75, KOCHI, 4
KOCORI2600, 2126.5, KOCHI, 4
ASISHR72JK, 2121.75, KOCHI, 4
JITHIN1533MN, 2121.5, KOCHI, 4
MUMORI1304, 2310, MUMBAI, 4
MAURYAMANISH1993, 2302.75, MUMBAI, 4
SHIVPR1343EF, 2285.5, MUMBAI, 4
MUMORI1311, 2234.5, MUMBAI, 4
PRITIB208JK, 2229.25, MUMBAI, 4
UDDHAV431PQ, 2209.25, MUMBAI, 4
ATULMC13RS, 2202.5, MUMBAI, 4
11SHANDAR, 2083.5, MUMBAI, 4
PILLA1316JK, 2048.5, MUMBAI, 4
MUMORI2638, 2047.5, MUMBAI, 4
CHEORI6182, 2810, CHENNAI, 5
CHEORI6181, 2785.5, CHENNAI, 5
MUDITM73QR, 2766.25, CHENNAI, 5
FRANCI831EF, 2659, CHENNAI, 5
MANITH218LM, 2598.5, CHENNAI, 5
"""VIJAYP5448DE""", 2516, CHENNAI, 5
CHEORI6199, 2458.25, CHENNAI, 5
"""GOWTHA4882AB""", 2399, CHENNAI, 5
NIRMA5864GH, 2391.25, CHENNAI, 5
RAHULD5934OP, 2328.75, CHENNAI, 5
HYDORI2271, 2925.25, HYDERABAD, 5
HYDORI5014, 2887.25, HYDERABAD, 5
YESWAN249EF, 2582.75, HYDERABAD, 5
NARSIR89GH, 2580.5, HYDERABAD, 5
HYDORI5070, 2573.25, HYDERABAD, 5
ZUBAIR1991UV, 2551.75, HYDERABAD, 5
HYDORI1344, 2423.25, HYDERABAD, 5
HYDORI5041, 2420.25, HYDERABAD, 5
SURESH19217UV, 2332.5, HYDERABAD, 5
SUNRISERS 1111, 2235.5, HYDERABAD, 5
KOCORI3335, 3076.75, KOCHI, 5
SHANTU404, 2991.25, KOCHI, 5
KOCOR3230, 2925.5, KOCHI, 5
ASISHR72JK, 2694.5, KOCHI, 5
JUBINB, 2664.5, KOCHI, 5
AXELEVEN11, 2657, KOCHI, 5
KOCORI3053, 2654.5, KOCHI, 5
"AKASHG3111FG", 2648, KOCHI, 5
PRIYAN21430QR, 2624.75, KOCHI, 5
JITHIN1533MN, 2608.75, KOCHI, 5
SHIVPR1343EF, 2821, MUMBAI, 5
ATULMC13RS, 2779.75, MUMBAI, 5
PRITIB208JK, 2710.75, MUMBAI, 5
UDDHAV431PQ, 2674.75, MUMBAI, 5
MAURYAMANISH1993, 2671.75, MUMBAI, 5
11SHANDAR, 2582, MUMBAI, 5
MUMORI2638, 2497, MUMBAI, 5
MUMORI1311, 2469, MUMBAI, 5
SHRIK8881PQ, 2456.25, MUMBAI, 5
PILLA1316JK, 2379.25, MUMBAI, 5
CHEORI6199, 3385.5, CHENNAI, 6
FRANCI831EF, 3316.5, CHENNAI, 6
MUDITM73QR, 3253, CHENNAI, 6
CHEORI6182, 3209.25, CHENNAI, 6
CHEORI6181, 3136.5, CHENNAI, 6
"""VIJAYP5448DE""", 3108.75, CHENNAI, 6
RAHULD5934OP, 3070.5, CHENNAI, 6
MANITH218LM, 3069.75, CHENNAI, 6
"""SANJAY56004KL""", 2973.5, CHENNAI, 6
ASHOK35715AB, 2932.75, CHENNAI, 6
HYDORI2271, 3478.5, HYDERABAD, 6
ZUBAIR1991UV, 3188.75, HYDERABAD, 6
YESWAN249EF, 3157.24, HYDERABAD, 6
HYDORI5014, 3150, HYDERABAD, 6
HYDORI5070, 3044.25, HYDERABAD, 6
SURESH19217UV, 3005, HYDERABAD, 6
NARSIR89GH, 2963, HYDERABAD, 6
HYDORI1344, 2816, HYDERABAD, 6
BALASU703AB, 2765, HYDERABAD, 6
SUNRISERS 1111, 2725, HYDERABAD, 6
KOCORI3335, 3493.5, KOCHI, 6
SHANTU404, 3336.25, KOCHI, 6
JITHIN1533MN, 3222, KOCHI, 6
KOCOR3230, 3210.25, KOCHI, 6
ASISHR72JK, 3162.5, KOCHI, 6
"AKASHG3111FG", 3157, KOCHI, 6
VINUSOUZ, 3154.75, KOCHI, 6
PRIYAN21430QR, 3134.5, KOCHI, 6
KOCORI2600, 3110.5, KOCHI, 6
JINESH518ST, 3094.25, KOCHI, 6
SHIVPR1343EF, 3310.25, MUMBAI, 6
11SHANDAR, 3309.75, MUMBAI, 6
PRITIB208JK, 3294, MUMBAI, 6
UDDHAV431PQ, 3289.25, MUMBAI, 6
ATULMC13RS, 3215.75, MUMBAI, 6
MAURYAMANISH1993, 3167, MUMBAI, 6
MUMORI1311, 3046.25, MUMBAI, 6
MUMORI2638, 3036.75, MUMBAI, 6
AMEYAD18WX, 2994.5, MUMBAI, 6
MUMORI1331, 2895.5, MUMBAI, 6
CHEORI6181, 5458.75, CHENNAI, 7
FRANCI831EF, 5311.25, CHENNAI, 7
CHEORI6199, 5282.25, CHENNAI, 7
MUDITM73QR, 5262.5, CHENNAI, 7
CHEORI6050, 5259.25, CHENNAI, 7
RAHULD5934OP, 5192.75, CHENNAI, 7
ASHOK35715AB, 5128.5, CHENNAI, 7
CHEORI6182, 5096, CHENNAI, 7
CHEORI6183, 5027.75, CHENNAI, 7
MANITH218LM, 4967.5, CHENNAI, 7
CHEORI6174, 4786, CHENNAI, 7
CHEORI6247, 4736, CHENNAI, 7
NIRMA5864GH, 4689, CHENNAI, 7
CHEORI6143, 4595, CHENNAI, 7
RKO DESTINY 29, 4584, CHENNAI, 7
HarishDarkKnights, 4505, CHENNAI, 7
SHASHA7364MN, 4423.75, CHENNAI, 7
CHEORI6117, 4346.75, CHENNAI, 7
AJISHJ9RS, 4332.25, CHENNAI, 7
MANIKA7082EF, 4145.75, CHENNAI, 7
CHEORI6130, 4102, CHENNAI, 7
SIDDHA10787AB, 4034.5, CHENNAI, 7
VIGNES8575CD, 3848.75, CHENNAI, 7
SUGUMA446OP, 3781.25, CHENNAI, 7
MUKESH35487EF, 3717.25, CHENNAI, 7
HYDORI2271, 5332.25, HYDERABAD, 7
HYDORI5070, 5272.75, HYDERABAD, 7
HYDORI5014, 5121, HYDERABAD, 7
ZUBAIR1991UV, 5032.75, HYDERABAD, 7
BALASU703AB, 4995.75, HYDERABAD, 7
HYDORI5040, 4955.25, HYDERABAD, 7
YESWAN249EF, 4931.25, HYDERABAD, 7
Sunrisers 1111, 4832, HYDERABAD, 7
NARSIR89GH, 4735.75, HYDERABAD, 7
HYDORI1344, 4590.5, HYDERABAD, 7
SUNILC2490GH, 4513.75, HYDERABAD, 7
VENKAT19814KL, 4231.25, HYDERABAD, 7
HYDORI5041, 4040.25, HYDERABAD, 7
HYDORI5067, 3825.75, HYDERABAD, 7
LOKESH15301FG, 3637.25, HYDERABAD, 7
PVANID1HI, 3546.25, HYDERABAD, 7
NAAYAN10VW, 3342.25, HYDERABAD, 7
PARUSH121QR, 3322.25, HYDERABAD, 7
SWAMYD77AB, 2785.25, HYDERABAD, 7
CHANDR26500MN, 2741.5, HYDERABAD, 7
SUBRAM1767OP, 2691, HYDERABAD, 7
avuthu bhargav reddy, 2567.5, HYDERABAD, 7
PRASSA107KL, 2425, HYDERABAD, 7
KESAVA1111OP, 2129.5, HYDERABAD, 7
SUNILK15207IJ, 2081, HYDERABAD, 7
KOCORI3335, 5635.75, KOCHI, 7
SHANTU404, 5600.5, KOCHI, 7
JITHIN1533MN, 5521.75, KOCHI, 7
KOCOR3230, 5384.75, KOCHI, 7
JINESH518ST, 5287.25, KOCHI, 7
PRIYAN21430QR, 5230.5, KOCHI, 7
ASISHR72JK, 5129.75, KOCHI, 7
KOCORI10006, 5120.5, KOCHI, 7
KOCORI2798, 5069.75, KOCHI, 7
KOCORI3058, 5069.25, KOCHI, 7
JubinB, 5061.5, KOCHI, 7
AXEleven11, 5052.5, KOCHI, 7
aaKasHXIKoChI, 5006.25, KOCHI, 7
KOCORI2600, 4996, KOCHI, 7
KRISHN38334EF, 4980.75, KOCHI, 7
KIRAN57387XY, 4953.5, KOCHI, 7
Aaperfect, 4937.25, KOCHI, 7
Team Night Fury, 4918.75, KOCHI, 7
KRISH79754QR, 4826, KOCHI, 7
ASKUKUNNATH, 4822, KOCHI, 7
KOCORI3053, 4812.5, KOCHI, 7
Vinusouz, 4781.75, KOCHI, 7
KOCORI2369, 4761.75, KOCHI, 7
KOCORI3378, 4649, KOCHI, 7
SanNju SaMson, 4493.75, KOCHI, 7
MUMORI1314, 5751.5, MUMBAI, 7
UDDHAV431PQ, 5550.5, MUMBAI, 7
MauryaManish1993, 5349.5, MUMBAI, 7
MUMORI1311, 5108.75, MUMBAI, 7
PRITIB208JK, 5031, MUMBAI, 7
SHIVPR1343EF, 5015.5, MUMBAI, 7
SHRIK8881PQ, 4973.25, MUMBAI, 7
MUMORI2638, 4957.5, MUMBAI, 7
ATULMC13RS, 4863.25, MUMBAI, 7
11Shandar, 4855, MUMBAI, 7
DANIS7733PQ, 4812.75, MUMBAI, 7
RUPALI2673CD, 4756.5, MUMBAI, 7
SONSOFPITCHES2016, 4735, MUMBAI, 7
DURGES6948MN, 4591, MUMBAI, 7
ORIMUM1422, 4589.5, MUMBAI, 7
MUMORI1331, 4576.75, MUMBAI, 7
11MYFAV, 4540.25, MUMBAI, 7
ANANTW42CD, 4524.25, MUMBAI, 7
SACHIN57303MN, 4497.5, MUMBAI, 7
MUMORI1434, 4480.25, MUMBAI, 7
lxrod7, 4441.25, MUMBAI, 7
PILLA1316JK, 4437, MUMBAI, 7
AMEYAD18WX, 4310.25, MUMBAI, 7
ABHILA3609FG, 4228, MUMBAI, 7
ASHUTO9523EF, 4223.5, MUMBAI, 7
FRANCI831EF, 5781.75, CHENNAI, 8
CHEORI6181, 5758.25, CHENNAI, 8
CHEORI6050, 5720.25, CHENNAI, 8
MUDITM73QR, 5706.25, CHENNAI, 8
CHEORI6199, 5664.25, CHENNAI, 8
RAHULD5934OP, 5522.5, CHENNAI, 8
CHEORI6182, 5513.75, CHENNAI, 8
CHEORI6183, 5497.5, CHENNAI, 8
ASHOK35715AB, 5462.5, CHENNAI, 8
MANITH218LM, 5426.25, CHENNAI, 8
CHEORI6174, 5204.5, CHENNAI, 8
NIRMA5864GH, 5080.75, CHENNAI, 8
CHEORI6247, 5073.75, CHENNAI, 8
RKO DESTINY 29, 4942.25, CHENNAI, 8
HarishDarkKnights, 4884.5, CHENNAI, 8
CHEORI6143, 4852.5, CHENNAI, 8
SHASHA7364MN, 4677.5, CHENNAI, 8
AJISHJ9RS, 4642.75, CHENNAI, 8
CHEORI6117, 4620, CHENNAI, 8
CHEORI6130, 4442.75, CHENNAI, 8
MANIKA7082EF, 4336, CHENNAI, 8
SIDDHA10787AB, 4284.75, CHENNAI, 8
VIGNES8575CD, 4256.75, CHENNAI, 8
GARISH26AB, 3934.5, CHENNAI, 8
SUGUMA446OP, 3918.75, CHENNAI, 8
HYDORI2271, 5713.25, HYDERABAD, 8
HYDORI5070, 5579.5, HYDERABAD, 8
HYDORI5014, 5511.25, HYDERABAD, 8
BALASU703AB, 5482.75, HYDERABAD, 8
ZUBAIR1991UV, 5340.25, HYDERABAD, 8
HYDORI5040, 5284.25, HYDERABAD, 8
YESWAN249EF, 5228, HYDERABAD, 8
NARSIR89GH, 5153.75, HYDERABAD, 8
Sunrisers 1111, 5131, HYDERABAD, 8
HYDORI1344, 4987.75, HYDERABAD, 8
SUNILC2490GH, 4785.5, HYDERABAD, 8
VENKAT19814KL, 4608, HYDERABAD, 8
HYDORI5041, 4228.25, HYDERABAD, 8
HYDORI5067, 3988.75, HYDERABAD, 8
LOKESH15301FG, 3738.5, HYDERABAD, 8
PVANID1HI, 3689.25, HYDERABAD, 8
PARUSH121QR, 3478.75, HYDERABAD, 8
NAAYAN10VW, 3392.75, HYDERABAD, 8
SWAMYD77AB, 2893.25, HYDERABAD, 8
CHANDR26500MN, 2890.25, HYDERABAD, 8
SUBRAM1767OP, 2886.75, HYDERABAD, 8
avuthu bhargav reddy, 2785.5, HYDERABAD, 8
PRASSA107KL, 2551.75, HYDERABAD, 8
KESAVA1111OP, 2282, HYDERABAD, 8
SUNILK15207IJ, 2246, HYDERABAD, 8
SHANTU404, 6089.25, KOCHI, 8
KOCORI3335, 5989, KOCHI, 8
JITHIN1533MN, 5966.25, KOCHI, 8
KOCOR3230, 5792.5, KOCHI, 8
JINESH518ST, 5668.75, KOCHI, 8
PRIYAN21430QR, 5567.25, KOCHI, 8
ASISHR72JK, 5559, KOCHI, 8
KOCORI3058, 5536, KOCHI, 8
JubinB, 5516.25, KOCHI, 8
KOCORI2798, 5446.75, KOCHI, 8
AXEleven11, 5438.5, KOCHI, 8
aaKasHXIKoChI, 5409.5, KOCHI, 8
KRISHN38334EF, 5392.25, KOCHI, 8
KOCORI10006, 5358.75, KOCHI, 8
Aaperfect, 5348.5, KOCHI, 8
KIRAN57387XY, 5328.25, KOCHI, 8
Team Night Fury, 5324.25, KOCHI, 8
KOCORI2600, 5252.75, KOCHI, 8
KRISH79754QR, 5183.5, KOCHI, 8
ASKUKUNNATH, 5183.25, KOCHI, 8
KOCORI2369, 5100.5, KOCHI, 8
KOCORI3053, 5088.5, KOCHI, 8
KOCORI3378, 5052.25, KOCHI, 8
Vinusouz, 4909.5, KOCHI, 8
Ratz 11, 4868.75, KOCHI, 8
MUMORI1304, 6126.25, MUMBAI, 8
UDDHAV431PQ, 5909.5, MUMBAI, 8
MauryaManish1993, 5629.75, MUMBAI, 8
MUMORI1311, 5607.25, MUMBAI, 8
PRITIB208JK, 5397.75, MUMBAI, 8
SHRIK8881PQ, 5382.5, MUMBAI, 8
SHIVPR1343EF, 5307.75, MUMBAI, 8
MUMORI2638, 5307.25, MUMBAI, 8
11Shandar, 5300.75, MUMBAI, 8
ATULMC13RS, 5255.25, MUMBAI, 8
DANIS7733PQ, 5191, MUMBAI, 8
RUPALI2673CD, 5127, MUMBAI, 8
SONSOFPITCHES2016, 5113.5, MUMBAI, 8
MUMORI1331, 4908.5, MUMBAI, 8
ORIMUM1422, 4854.75, MUMBAI, 8
DURGES6948MN, 4853.75, MUMBAI, 8
MUMORI1434, 4823.5, MUMBAI, 8
11MYFAV, 4803, MUMBAI, 8
SACHIN57303MN, 4762.5, MUMBAI, 8
ANANTW42CD, 4753.5, MUMBAI, 8
lxrod7, 4750.5, MUMBAI, 8
PILLA1316JK, 4693.5, MUMBAI, 8
ASHUTO9523EF, 4491.75, MUMBAI, 8
AMEYAD18WX, 4490, MUMBAI, 8
ABHILA3609FG, 4487.5, MUMBAI, 8
CHEORI6181, 6172.75, CHENNAI, 9
CHEORI6050, 6153, CHENNAI, 9
FRANCI831EF, 6136, CHENNAI, 9
CHEORI6182, 6047.25, CHENNAI, 9
MUDITM73QR, 6004, CHENNAI, 9
CHEORI6199, 5956.5, CHENNAI, 9
RAHULD5934OP, 5905.5, CHENNAI, 9
ASHOK35715AB, 5830, CHENNAI, 9
CHEORI6183, 5828.25, CHENNAI, 9
MANITH218LM, 5790, CHENNAI, 9
CHEORI6174, 5582.5, CHENNAI, 9
CHEORI6247, 5542, CHENNAI, 9
NIRMA5864GH, 5460, CHENNAI, 9
RKO DESTINY 29, 5364.75, CHENNAI, 9
HarishDarkKnights, 5180.75, CHENNAI, 9
AJISHJ9RS, 5045.5, CHENNAI, 9
SHASHA7364MN, 5032.5, CHENNAI, 9
CHEORI6117, 4957, CHENNAI, 9
CHEORI6143, 4946, CHENNAI, 9
CHEORI6130, 4857.75, CHENNAI, 9
MANIKA7082EF, 4719.75, CHENNAI, 9
SIDDHA10787AB, 4655.75, CHENNAI, 9
VIGNES8575CD, 4408.75, CHENNAI, 9
GARISH26AB, 4295.75, CHENNAI, 9
VIGNES8564MN, 4139.25, CHENNAI, 9
HYDORI2271, 6139.25, HYDERABAD, 9
HYDORI5070, 5913, HYDERABAD, 9
BALASU703AB, 5897.25, HYDERABAD, 9
HYDORI5014, 5829.5, HYDERABAD, 9
YESWAN249EF, 5636, HYDERABAD, 9
ZUBAIR1991UV, 5629.5, HYDERABAD, 9
NARSIR89GH, 5624.25, HYDERABAD, 9
HYDORI5040, 5609.5, HYDERABAD, 9
Sunrisers 1111, 5522, HYDERABAD, 9
HYDORI1344, 5441.25, HYDERABAD, 9
SUNILC2490GH, 5143.75, HYDERABAD, 9
VENKAT19814KL, 5077.75, HYDERABAD, 9
HYDORI5041, 4399.25, HYDERABAD, 9
HYDORI5067, 4091.75, HYDERABAD, 9
LOKESH15301FG, 3848.5, HYDERABAD, 9
PVANID1HI, 3794.25, HYDERABAD, 9
PARUSH121QR, 3530.75, HYDERABAD, 9
NAAYAN10VW, 3528, HYDERABAD, 9
avuthu bhargav reddy, 3097.75, HYDERABAD, 9
CHANDR26500MN, 2967.75, HYDERABAD, 9
SUBRAM1767OP, 2945.75, HYDERABAD, 9
SWAMYD77AB, 2893.25, HYDERABAD, 9
PRASSA107KL, 2602.25, HYDERABAD, 9
KESAVA1111OP, 2328.5, HYDERABAD, 9
SUNILK15207IJ, 2307, HYDERABAD, 9
SHANTU404, 6452, KOCHI, 9
JITHIN1533MN, 6344.5, KOCHI, 9
KOCORI3335, 6261.75, KOCHI, 9
KOCOR3230, 6162.25, KOCHI, 9
JINESH518ST, 6010.5, KOCHI, 9
AXEleven11, 5934.5, KOCHI, 9
PRIYAN21430QR, 5915.25, KOCHI, 9
ASISHR72JK, 5910.75, KOCHI, 9
Aaperfect, 5816.75, KOCHI, 9
KOCORI3058, 5812.25, KOCHI, 9
JubinB, 5808.75, KOCHI, 9
Team Night Fury, 5771, KOCHI, 9
aaKasHXIKoChI, 5763.5, KOCHI, 9
KOCORI2798, 5740, KOCHI, 9
KRISHN38334EF, 5707, KOCHI, 9
KIRAN57387XY, 5660, KOCHI, 9
KOCORI2369, 5614.25, KOCHI, 9
KRISH79754QR, 5551.5, KOCHI, 9
ASKUKUNNATH, 5539.5, KOCHI, 9
KOCORI3378, 5514.75, KOCHI, 9
KOCORI10006, 5506.75, KOCHI, 9
KOCORI2600, 5495.75, KOCHI, 9
Ratz 11, 5287.25, KOCHI, 9
KOCORI3053, 5280, KOCHI, 9
ROSHIT113VW, 5212.5, KOCHI, 9
UDDHAV431PQ, 6425.75, MUMBAI, 9
MUMORI1311, 6040, MUMBAI, 9
PRITIB208JK, 5789.75, MUMBAI, 9
MUMORI2638, 5748, MUMBAI, 9
11Shandar, 5745.25, MUMBAI, 9
SHRIK8881PQ, 5744.5, MUMBAI, 9
SHIVPR1343EF, 5721.25, MUMBAI, 9
MauryaManish1993, 5711.75, MUMBAI, 9
ATULMC13RS, 5620.75, MUMBAI, 9
DANIS7733PQ, 5510.25, MUMBAI, 9
RUPALI2673CD, 5483, MUMBAI, 9
SONSOFPITCHES2016, 5470.25, MUMBAI, 9
ORIMUM1422, 5301.25, MUMBAI, 9
MUMORI1331, 5253.75, MUMBAI, 9
ANANTW42CD, 5184.5, MUMBAI, 9
DURGES6948MN, 5152.25, MUMBAI, 9
MUMORI1434, 5143.25, MUMBAI, 9
11MYFAV, 5130, MUMBAI, 9
SACHIN57303MN, 4977.75, MUMBAI, 9
lxrod7, 4928.5, MUMBAI, 9
ASHUTO9523EF, 4863.5, MUMBAI, 9
PILLA1316JK, 4849.75, MUMBAI, 9
ABHILA3609FG, 4800.25, MUMBAI, 9
JISHNU191VW, 4696.5, MUMBAI, 9
AMEYAD18WX, 4549, MUMBAI, 9
